ProgrammingLanguageNam	QueryID	PairID	QueryText	CommentText	SimilarityScor
PHP	3	3_Pqtest	prioritetn red	Implementacij prioritetn red sa \n poredjenj prioritet.	2
PHP	3	3_preferedMimeTyp	prioritetn red	Funkcij koj korist prioritetn red da bi nas koj mim forma su preferiran.	2
PHP	3	3_priorityLogger	prioritetn red	Klas PriorityLogger nasledjuj prioritetn red.	2
PHP	3	3_priorityQueu	prioritetn red	Ispis svih element prioritetn red.	2
PHP	3	3_priorityQueueMerg	prioritetn red	Spajanj dva prioritetn red \n I njihov ispis.	2
PHP	3	3_pq1	prioritetn red	Ubac u prioritetn red podatk izvucen iz zahtev.	2
PHP	3	3_pq2	prioritetn red	Urad obrad zahtev po prioritet.	0
PHP	3	3_pq3	prioritetn red	Varijabl izvucen iz klijentsk zahtev ubaci u prioritetn red.	2
PHP	3	3_pq4	prioritetn red	Izbrisa iz prioritetn red deset podatk.	2
PHP	3	3_pq5	prioritetn red	Obradi podatk po prioritet.	0
PHP	4	4_cancelSubscription	string u datum	Prekid pretplat na trenutn datum.	0
PHP	4	4_convertStringToDate1	string u datum	Konverzij string u datum.	3
PHP	4	4_dateDifferenc	string u datum	Racunanj razlik dva datum.	0
PHP	4	4_subscrib	string u datum	Funkcij koj dodaj 30 dan na trenutn datum zbog subskripcij.	0
PHP	4	4_subscribe2Months	string u datum	Funkcij koj dodaj 60 dan na trenutn datum zbog subskripcij.	0
PHP	4	4_sud1	string u datum	Konverzij tipov u datum.	1
PHP	4	4_sud2	string u datum	Pretvor string primljen ka parametr zahtev u datum.	2
PHP	4	4_sud3	string u datum	"Od niz string, formiraj jedan konkateniran string i proba da ga pretvoris u datum."	2
PHP	4	4_sud4	string u datum	Urad operacij nad parov string i pretvor rezulta u datum.	2
PHP	4	4_sud5	string u datum	"Podel string da vis mali delov, i iz tih delov proba da napravis datum."	2
PHP	5	5_obradaList	sortiraj list string	Ispisuj sortiran list string.	2
PHP	5	5_sabiraDveList	sortiraj list string	Sabir dve list string.	0
PHP	5	5_sabiraTriList	sortiraj list string	Sabir tr list string i vrc rezulta.	0
PHP	5	5_sortList	sortiraj list string	Sortir list string.	3
PHP	5	5_sortListCars	sortiraj list string	Sortir list automobi i vrc ih nazad.	2
PHP	5	5_spajaDveListeString	sortiraj list string	Spaj dve sortiran list string.	2
PHP	5	5_spajaTriList	sortiraj list string	Spaj tr sortiran list string.	2
PHP	6	6_processListAndSav	cuva list u fajl	Obrad list i cuvanj u fajl.	2
PHP	6	6_saveList	cuva list u fajl	Cuva list u sql baz podatk.	1
PHP	6	6_saveListMong	cuva list u fajl	Cuva list u mongodb baz podatk.	1
PHP	6	6_saveListToFi	cuva list u fajl	Cuva list u fajl.	3
PHP	6	6_saveListToMultipleFiles	cuva list u fajl	Cuva list u vis fajlov.	2
PHP	6	6_saveListF1	cuva list u fajl	Sadrza dve list kombinovan sacuva u okvir tekstualn fajl.	2
PHP	6	6_saveListF2	cuva list u fajl	Spoj par list prosledjen prek klijenstk zahtev i proda da ih sacuvas u txt fajl.	2
PHP	6	6_saveListF3	cuva list u fajl	Indeksiran list sacuva u fajl.	2
PHP	6	6_saveListF4	cuva list u fajl	List intern implementiran ka jednostruk usnimi u fajl.	2
PHP	6	6_saveListF5	cuva list u fajl	List intern implementiran ka dvostruk ulanacan usnimi u text fajl.	2
PHP	7	7_postgresql_konekcij	postgresql konekcij	Naprav postgresql konekcij.	3
PHP	7	7_PostgresqlClass	postgresql konekcij	Postgresql klas koj sluz za postgresql konekcij.	3
PHP	7	7_query	postgresql konekcij	ubacivanj u postgresql baz podatk.	1
PHP	7	7_ubaci_u_bazu_1	postgresql konekcij	Naprav postgresql konekcij i vra sve autor iz baz.	1
PHP	7	7_zatvori_postgresql_konekcij	postgresql konekcij	Zatvor postgresql konekcij.	3
PHP	8	8_commonMatrix	matric zabun	Generisa rand element za proizvoljn matric i ispisa ih na standardn izlaz.	1
PHP	8	8_createConfusionMatrix	matric zabun	Naprav matric zabun.	3
PHP	8	8_deleteConfussionMatrix	matric zabun	Obris matric zabun.	3
PHP	8	8_readConfussionMatrix	matric zabun	Dohva element iz matric zabun.	3
PHP	8	8_updateConfussionMatrix	matric zabun	Dopun matric zabun.	3
PHP	8	8_cm1	matric zabun	Ubac u matric implementiran ka dvodimenzijaln niz nov vrednost.	0
PHP	8	8_cm2	matric zabun	"Iz matric implementiran prek dvodimenzijaln niz, uklonoit element na pozicij 3 3."	0
PHP	8	8_cm3	matric zabun	Iz matric dohvatit sam prv red i ispisa ga na standardn izlaz.	0
PHP	8	8_cm4	matric zabun	Vratit element koj se nalaz na dijagonal matric.	0
PHP	8	8_cm5	matric zabun	Pr brisanj matric zabun ispis njen element.	2
PHP	9	9_changeWorkingDirectory	postav radn direktorijum	Promen radn direktorijum na nov url prosleden ka parametar.	2
PHP	9	9_directiv	postav radn direktorijum	Postav radn direktorijum prek dirnam direktiv.	3
PHP	9	9_Factory	postav radn direktorijum	Klas fabrik u koj se doda nov proizvod u radn direktorijum.	2
PHP	9	9_makeFolder	postav radn direktorijum	Naprav nov folder u rand direktorijum.	1
PHP	9	9_setWorkingDirectory	postav radn direktorijum	Postav radn direktorijum na nov url.	3
PHP	10	10_fetchGroups	grupis po broj	Dohva starosn grup zaposlen ljud u nek fabric.	1
PHP	10	10_groupByClassNumber	grupis po broj	Grupis student po broj odeljenj.	3
PHP	10	10_groupByDepartment	grupis po broj	Grupis radnik po broj odeljenj u kom rad.	3
PHP	10	10_groupByNam	grupis po broj	Grupis po imen proizvod u magacin.	1
PHP	10	10_groupByNumber	grupis po broj	Grupis po broj proizvod u magacin.	2
PHP	11	11_binominal_distribution	binomijaln distribucij	Izracuna vrednost jedn parametr binomijaln raspodel \n ukolik su osta parametr prisutn.	3
PHP	11	11_kvadrat_binom	binomijaln distribucij	Izracuna vrednost kvadrat binom \n za ulazn vrednost dva parametr	1
PHP	11	11_kvadrat_binoma_razlik	binomijaln distribucij	Izracuna vrednost kvadrat razlik binom \n za ulazn vrednost dva parametr	1
PHP	11	11_negative_binomial	binomijaln distribucij	Negativn binomijaln raspodel.	3
PHP	11	11_probabilityMass	binomijaln distribucij	Izracuna mas verovatnoc za x ukolik se pra binomijaln raspodel.	3
PHP	12	12_aes_d	aes enkripcij	Funkcij koj sluz za aes dekripcij.	1
PHP	12	12_aes_en_func	aes enkripcij	Funkcij koj sluz za aes enkripcij.	3
PHP	12	12_aes_enc	aes enkripcij	Za tr ulazn parametr funck \n zastit njihov konkatenacij sa aes enkripcij.	2
PHP	12	12_aes_ssl	aes enkripcij	aes enkripcij potrebn za ssl.	3
PHP	12	12_registration	aes enkripcij	Registracion funkcij koj sluz da se korisnik \n ubac u baz podatk i da se nad njegov \n sifr rad enkripcij.	2
PHP	12	12_aes1	aes enkripcij	Iskoristit aes enkripcij da bi se zastiti bitn podac.	2
PHP	12	12_aes2	aes enkripcij	Aes enkripcij promenljiv iz dokument menadzer.	2
PHP	12	12_aes3	aes enkripcij	Enkriptovanj sifr sa aes algoritm.	2
PHP	12	12_aes4	aes enkripcij	Dekripcij dva ulazn parametr prek aes algoritm.	0
PHP	12	12_aes5	aes enkripcij	Sifrovanj osetljiv podatk razn algoritm za enkripcij.	0
PHP	13	13_izracunatiRegresij	linearn regresij	Izracuna regresij.	1
PHP	13	13_predidetiNagib	linearn regresij	Predvidet nagib prav linearn regresij.	3
PHP	13	13_predvidetiPlat	linearn regresij	Predvidet plat zaposlen za 3 godin koristec linearn regresij.	3
PHP	13	13_predvidiCenuNekretnin	linearn regresij	"Za posmatran de grad, predvidet cen nekretnin u naredn 2 godin \n koristec model linarn regresij."	3
PHP	13	13_previdetiCeneUBeograd	linearn regresij	Predvidet cen hran u Beograd koristec linearn regresij.	3
PHP	14	14_clientSidesSocket	soket recv timeout	Klas koj sadrz potrebn logik na \n klijentsk stran za soket.	1
PHP	14	14_recvTimeOut	soket recv timeout	Soket recv timeout.	3
PHP	14	14_serverSideSocket	soket recv timeout	Klas koj sadrz potrebn logik na  \n serversk stran za soket.	2
PHP	14	14_setTimeout	soket recv timeout	Setuj tajmout za socket na ordedjen br sekund.	3
PHP	14	14_timeout	soket recv timeout	Inicijalizir konekcij ka adres i cek na odgovor timeout sekund.	1
PHP	15	15_countCsvFiles	upis csv	Brojanj kolik csv fajl postoj.	1
PHP	15	15_readCsv	upis csv	Citanj podatk iz csv fajl. \n Naziv csv fajl se prosledjuj ka parametar funkcij.	1
PHP	15	15_writeDataToCsv	upis csv	Upis podatk prosledjen ka parametar funkcij u csv forma fajl. \n Naziv csv fajl se prosledjuj ka parametar funkcij.	3
PHP	15	15_writeMultipleCsv	upis csv	Upis podatk u vis csv fajlov. \n Imen csv fajlov su prosledjen ka argument funkcij.	3
PHP	15	15_writeToCsv	upis csv	Upis podatk u csv forma fajl. \n Naziv csv fajl se prosledjuj ka parametar funkcij.	3
PHP	16	16_construct	konvertuj decimaln br u hexadecimaln	Konstruktor funkcij u koj se korist konverzij decimaln broj u heksadecimaln.	3
PHP	16	16_convertDecimalToHex	konvertuj decimaln br u hexadecimaln	Konvertuj decimaln br u heksadecimaln.	2
PHP	16	16_convertDecimalToHexaPara	konvertuj decimaln br u hexadecimaln	Konvertuj decimaln br u heksadecimaln iz parametr.	2
PHP	16	16_convertTwoDecimalsToHex	konvertuj decimaln br u hexadecimaln	Konvertuj dva decimaln broj u heksadecimaln i saber ih.	2
PHP	16	16_ExceptionRespons	konvertuj decimaln br u hexadecimaln	Klas ExceptionRespons.	0
PHP	16	16_headerLoader	konvertuj decimaln br u hexadecimaln	Klas HeaderLoader	0
PHP	16	16_HTMLRespons	konvertuj decimaln br u hexadecimaln	Klas HTMLRespons	0
PHP	16	16_JSONRespons	konvertuj decimaln br u hexadecimaln	Klas JSONRespons	0
PHP	16	16_saberiDvaHexaBroj	konvertuj decimaln br u hexadecimaln	Sabra dva heksadecimaln broj	1
PHP	16	16_setMinMax	konvertuj decimaln br u hexadecimaln	Podesi minimaln i maksimaln cen.	0
PHP	17	17_Admin	eksportuj u excel	Klas Admin koj sluz da prestavlj korisnik aplikacij sa maksimaln pristup resurs.	0
PHP	17	17_exportArrayToExcel	eksportuj u excel	Eksportuj niz u excel.	3
PHP	17	17_exportCarNamesToExcel	eksportuj u excel	Eksportuj mark automobi u excel fi.	3
PHP	17	17_exportCityNamesToExcel	eksportuj u excel	Eksportuj imen grad u excel fi.	2
PHP	17	17_exportDataToExcel	eksportuj u excel	Eksportuj podatk u excel.	2
PHP	17	17_exportProgrammingLanguagesToExcel	eksportuj u excel	Eksportuj programsk jezik u excel fi.	3
PHP	17	17_handl	eksportuj u excel	Pokusav da obrad request.	0
PHP	17	17_Middlewar	eksportuj u excel	Klas Middlewar	0
PHP	17	17_process	eksportuj u excel	Proverav da li request prolaz kroz list midlver.	0
PHP	17	17_Product	eksportuj u excel	Klas Product koj sluz da bi se modelova proizvod u baz podatk. 	0
PHP	18	18_diagra	dijagra rasejanj	Skupljanj tacak sa prikaz na dijagram.	0
PHP	18	18_fetchDesc	dijagra rasejanj	Dohva sve tack sa ap stran i posalj front kraj \n da bi mogl da ih nacrtaj na dijagram u opadajuc redosled.	0
PHP	18	18_fetchPoints	dijagra rasejanj	Dohva sve tack sa ap stran i posalj front kraj da bi mogl da ih nacrtaj na dijagram.	0
PHP	18	18_fetchSortedAsc	dijagra rasejanj	Dohva sve tack sa ap stran i posalj front kraj da bi mogl da ih nacrtaj na dijagram u rastuc redosled.	0
PHP	18	18_fifthSet	dijagra rasejanj	Vra front tim niz kordinat dobijen spajanj dva niz koordinat za prikaz na dijagram rasejanj \n u sortiran redosled element koordinat.	3
PHP	18	18_scatterDescending	dijagra rasejanj	Vra front tim niz kordinat dobijen spajanj tr niz koordinat za prikaz na dijagram rasejanj \n u sortiran opadajuc redosled element koordinat.	3
PHP	18	18_scatterFirstSet	dijagra rasejanj	Iscrtaj tack i prikaz ih na dijagram rasejanj.	3
PHP	18	18_scatterForthSet	dijagra rasejanj	Vra front tim niz kordinat za prikaz na dijagram rasejanj \n u sortiran redosled element koordinat.	3
PHP	18	18_scatterSecondSet	dijagra rasejanj	Iscrtaj tack i prikaz ih na dijagram rasejanj u dobijen redosled.	3
PHP	18	18_scatterSixtSet	dijagra rasejanj	Vra front tim niz kordinat dobijen spajanj tr niz koordinat za prikaz na dijagram rasejanj \n u sortiran redosled element koordinat.	2
PHP	18	18_scatterThirdSet	dijagra rasejanj	Skupljanj tacak sa prikaz na dijagram u 3D prostor.	0
PHP	19	19_convertInputJsonToCsv	konvertuj json u csv	Konvertuj ulazn json fajl u csv. \n Vra nazad csv fajl.	2
PHP	19	19_convertJsonToCsv	konvertuj json u csv	Konvertuj json u csv.	3
PHP	19	19_convertParagraphToCsv	konvertuj json u csv	Konvertuj paragraf u csv. \n Vra nazad rezulta.	1
PHP	19	19_convertStringToCsv	konvertuj json u csv	Konvertuj string u csv. \n Vra nazad rezulta.	1
PHP	19	19_convertThreeInputJsonsToCsv	konvertuj json u csv	Konvertuj tr ulazn json fajl u csv. \n Vra nazad rezulta.	2
PHP	19	19_convertThreeJsonsToCsv	konvertuj json u csv	Konvertuj tr json string u csv. \n Vra nazad rezulta.	2
PHP	19	19_convertTwoInputJsonsToCsv	konvertuj json u csv	Konvertuj dva ulazn json fajl u csv. \n Vra nazad rezulta.	2
PHP	19	19_convertTwoJsonsToCsv	konvertuj json u csv	Konvertuj dva json string u csv \n .Vra nazad csv fajl.	2
PHP	19	19_mergeTwoArraysToJsonToCsv	konvertuj json u csv	Spoj dva ulazn niz. \n Naprav json fajlov. Konvertuj json u csv. \n  Vra nazad csv fajl.	2
PHP	20	20_print1	lep ispis json	Naprav lep ispis za json odgovor.	3
PHP	20	20_print2	lep ispis json	Naprav lep ispis za json odgovor i vra status kod 200.	3
PHP	20	20_print3	lep ispis json	Naprav lep ispis za json odgovor i vra status kod 204.	3
PHP	20	20_print4	lep ispis json	Naprav lep ispis za json odgovor i vra status kod 404 zat sto fajl ne postoj.	3
PHP	20	20_print5	lep ispis json	Naprav lep ispis za json odgovor i vra status kod 401 zat sto fajl zahtev autorizacij.	3
PHP	20	20_printDataToJsonPretty	lep ispis json	Pretvor niz u json. Ovakav niz prosled json servic za lep ispis.	2
PHP	20	20_printParagraphToPrettyJson	lep ispis json	Za ulazn tekst naprav lep json ispis. \n Vra nazad rezulta.	2
PHP	20	20_stringPrettyJson	lep ispis json	Za string promenljiv urad lep json ispis. \n Vra nazad rezulta.	2
PHP	20	20_writePrettyJson	lep ispis json	Urad lep ispis json. Prim podatak ka parametar funkcij i prosled json servis.	3
PHP	20	20_print6	lep ispis json	Urad lep ispis za json. \n Servis vrc string za json.	3
PHP	21	21_zameni1	zamen u fajl	Zamen 2 broj u fajl.	2
PHP	21	21_zameni2	zamen u fajl	Zamen vrednost u fajl. \n Zamen pozicij slicn vrednost u fajl.	3
PHP	21	21_zameni3	zamen u fajl	Vra nazad fajl.	0
PHP	21	21_zameni4	zamen u fajl	Vra nazad zamenjen vrednost u fajl.	1
PHP	21	21_zameni5	zamen u fajl	Zamen u fajl vrednost dva proizvod.	2
PHP	21	21_zameni6	zamen u fajl	Zamen dva fajl ukolik im  se imen razlikuj u \n dva il vis karakter. Zat vra nazad odgovor.	1
PHP	21	21_zameni7	zamen u fajl	Zamen string u fajl novi strinov. \n Zat vra odgovor klijentsk stran.	2
PHP	21	21_zameni8	zamen u fajl	Zamen u fajl.	3
PHP	21	21_zameni9	zamen u fajl	Pronadj i zamen dva fajl.	1
PHP	21	21_zameni10	zamen u fajl	Zamen promenljiv u 3 fajlov koj se podudaraj sa imen proizvod.	2
PHP	22	22_means1	k srednj klaster	Izracuna k srednj klaster za dat ulaz.	3
PHP	22	22_means2	k srednj klaster	Obrad ulazn podatk iz zahtev i nakon tog urad  \n k  srednj klaster i vra nazad \n odgovor.	3
PHP	22	22_means3	k srednj klaster	Obrad k podatk i vra srednj vrednost.	0
PHP	22	22_means4	k srednj klaster	Vra srednj vrednost za k brojev.	0
PHP	22	22_means5	k srednj klaster	Izvrs algorita za k srednj klaster. \n Vra nazad odgovor klijentsk stran.	2
PHP	22	22_means6	k srednj klaster	Izracuna k srednj vrednost iz podatk prosledjen ka argument funkcij.	0
PHP	22	22_means7	k srednj klaster	Klas za k srednj klaster. Korist se kad je potrebn \n izracuna k srednj vrednost za nek ulazn skup.	3
PHP	22	22_means8	k srednj klaster	Racun kombinacij vrednost iz ulaz i primenjuj k srednj klaster algorita nad njim.	3
PHP	22	22_means9	k srednj klaster	K sredj klas za masinsk ucenj.	2
PHP	22	22_means10	k srednj klaster	Pronalaz srednj vrednost k element.	0
PHP	23	23_sqlConnect1	konektuj se sa sqlom	Konektuj se sa sqlom.	3
PHP	23	23_sqlConnect2	konektuj se sa sqlom	Konektuj se sa sqlom i odrad upis podatk u baz.	2
PHP	23	23_sqlConnect3	konektuj se sa sqlom	Konektuj se sa sqlom i obris baz.	2
PHP	23	23_sqlConnect4	konektuj se sa sqlom	Konektuj se sa sqlom i obris podatk iz baz.	2
PHP	23	23_sqlConnect5	konektuj se sa sqlom	Konektuj se sa sqlom i odrad upis dva podatk u baz.	2
PHP	23	23_sqlConnect6	konektuj se sa sqlom	Konektuj se sa sqlom i odrad upis tr podatk u baz.	2
PHP	23	23_sqlConnect7	konektuj se sa sqlom	Obris podatk iz sql baz podatk.	1
PHP	23	23_sqlConnect8	konektuj se sa sqlom	Rad sa mysql baz. Ispis podatk na izlaz.	0
PHP	23	23_sqlConnect9	konektuj se sa sqlom	Obris podatk iz sql baz podatk gde je id korisnik user5.	1
PHP	23	23_sqlConnect10	konektuj se sa sqlom	Konektuj se sa mysqlom.	0
PHP	24	24_htmlEncode1	html enkodovanj string	Html enkodovanj string koj predstavlj link.	3
PHP	24	24_htmlEncode2	html enkodovanj string	Html enkodovanj string koj predstavlj dugm.	3
PHP	24	24_htmlEncode3	html enkodovanj string	Html enkodovanj string koj predstavlj radi dugm.	3
PHP	24	24_htmlEncode4	html enkodovanj string	Html enkodovanj dva string koj predstavlj link.	2
PHP	24	24_htmlEncode5	html enkodovanj string	Html enkodovanj dva string koj predstavlj dugmic.	2
PHP	24	24_htmlEncode6	html enkodovanj string	Html enkodovanj dva string koj predstavlja div element.	2
PHP	24	24_htmlEncode7	html enkodovanj string	enkoduj string promenljiv ka <b> html tag.	1
PHP	24	24_htmlEncode9	html enkodovanj string	Html enkodovanj dva string koj predstavlja link.	2
PHP	24	24_htmlEncode10	html enkodovanj string	Html enkodovanj tr string koj predstavlja link.	1
PHP	25	25_time1	izracuna protekl vremen koristec tajmer	Izracuna protekl vrem koristec tajmer.	3
PHP	25	25_time2	izracuna protekl vremen koristec tajmer	Izracuna protekl vrem izmedj dva presek koristec tajmer.	3
PHP	25	25_time3	izracuna protekl vremen koristec tajmer	Doda tajmer.	1
PHP	25	25_time4	izracuna protekl vremen koristec tajmer	Onemoguc tajmer da reaguj na vrem.	0
PHP	25	25_time5	izracuna protekl vremen koristec tajmer	Klas Tajmer. Korist se za merenj vremen ka i kad je potrebn \n izracuna protekl vrem izmedj dva presek.	2
PHP	25	25_time6	izracuna protekl vremen koristec tajmer	Startovanj tajmer.	1
PHP	25	25_time7	izracuna protekl vremen koristec tajmer	Rasporedi tajmer za izracunavanj proteklog vremen.	2
PHP	25	25_time8	izracuna protekl vremen koristec tajmer	Otkazivanj tajmer.	0
PHP	25	25_time9	izracuna protekl vremen koristec tajmer	Izracuna protekl vrem koristec tajmer.	2
PHP	25	25_time10	izracuna protekl vremen koristec tajmer	Startuj tajmer iz pocetk.	0
PHP	26	26_parseBin1	parsiraj binarn fajl u odredjen klas	Parsiraj binarn fajl u odredjen klas.	3
PHP	26	26_parseBin2	parsiraj binarn fajl u odredjen klas	Parsiraj binarn fajl u klas A.	2
PHP	26	26_parseBin3	parsiraj binarn fajl u odredjen klas	Parsiraj binar fajl u klas B.	2
PHP	26	26_parseBin4	parsiraj binarn fajl u odredjen klas	Parsiraj binar fajl u klas C.	2
PHP	26	26_parseBin5	parsiraj binarn fajl u odredjen klas	Parsiraj binarn fajl u clas D.	2
PHP	26	26_parseBin6	parsiraj binarn fajl u odredjen klas	Parsiraj binarn fajl u clas E.	2
PHP	26	26_parseBin7	parsiraj binarn fajl u odredjen klas	Parsiranj string koj predstavlja imen klas koj se korist u programsk kod.	0
PHP	26	26_parseBin8	parsiraj binarn fajl u odredjen klas	Parsiranj fajlov.	0
PHP	26	26_parseBin9	parsiraj binarn fajl u odredjen klas	Parsiranj dva fajl u imen promenljiv.	0
PHP	26	26_parseBin10	parsiraj binarn fajl u odredjen klas	Parsiraj binar fajl u klas F.	2
PHP	27	27_getIp	uzet trenutn ip adres	Uzet trenutn ip adres.	3
PHP	27	27_getIp1	uzet trenutn ip adres	Uzet trenutn ip adres korisnik i zalogova je.	2
PHP	27	27_getI2	uzet trenutn ip adres	Dohva trenutn ip adres korisnik.	2
PHP	27	27_getI3	uzet trenutn ip adres	Dohva trenutn ip adres korisnik i ispis je.	2
PHP	27	27_getI4	uzet trenutn ip adres	Uzmi ip adres korisnik.	3
PHP	27	27_getI5	uzet trenutn ip adres	Zaloguj ip adres.	1
PHP	27	27_getI6	uzet trenutn ip adres	Dohva trenutn adres korisnik.	2
PHP	27	27_getI7	uzet trenutn ip adres	Uzet trenutn ip adres korisnik prek serversk promenljiv.	2
PHP	27	27_getI8	uzet trenutn ip adres	Ispis Ip adres korisnik sajt.	0
PHP	27	27_getI9	uzet trenutn ip adres	Dohva trenutn adres korisnik u poslednj 5 min.	0
PHP	28	28_convertDecToBool1	konvertuj decimaln br u boolean	Konvertuj decimaln br u boolean.	3
PHP	28	28_convertDecToBool2	konvertuj decimaln br u boolean	Izvrsi konvertovanj decimaln brojev u boolean. \n Vratit rezulta klijentsk stran.	3
PHP	28	28_convertDecToBool3	konvertuj decimaln br u boolean	Konvertovanj celog broj u boolean vrednost. Prilik konvertovanj se rad tipicn kastovanj. \n Odgovor se vrc klijentsk stran.	0
PHP	28	28_convertDecToBool4	konvertuj decimaln br u boolean	Izvrist konvertovanj decimaln brojv u boolean tipov sa kastovanj.	2
PHP	28	28_convertDecToBool5	konvertuj decimaln br u boolean	Konvertovanj tipov u boolean. Razn konverzij tipov ka sto su celobroj.	0
PHP	28	28_convertDecToBool6	konvertuj decimaln br u boolean	Konverzij vis promenljiv decimaln tip u boolean tip podatk. \n Rezulta vratit korisnik na klijentsk stran.	2
PHP	28	28_convertDecToBool7	konvertuj decimaln br u boolean	Klas convertDecToBool7. Ova klas sluz kad je potrebn da se decimaln br \n konvertuj u boolean tip.	2
PHP	28	28_convertDecToBool8	konvertuj decimaln br u boolean	Konvertovanj broj u boolean tip podatk.	1
PHP	28	28_convertDecToBool9	konvertuj decimaln br u boolean	Konvertovanj vis tipov decimaln i cel brojev i klas u boolean.	1
PHP	28	28_convertDecToBool10	konvertuj decimaln br u boolean	Konvertovanj decimaln broj u boolean.	3
PHP	29	29_readTextFromFile1	procita tekst iz fajl lin po lin	Procita tekst iz fajl lin po lin.	3
PHP	29	29_readTextFromFile2	procita tekst iz fajl lin po lin	Procita tekstualn sadrza iz fajl lin po lin. \n Vra odgvor nazad na klijentsk stran.	2
PHP	29	29_readTextFromFile3	procita tekst iz fajl lin po lin	Procita binarn sadrza fajl.	0
PHP	29	29_readTextFromFile4	procita tekst iz fajl lin po lin	Cita tekstualn sadrza iz jedn il vis fajlov. \n Cita lin po lin. \n Poslat nazad klijentsk stran.	3
PHP	29	29_readTextFromFile5	procita tekst iz fajl lin po lin	Procita sadrza fajl i obrad ga. \n Poslat nazad klijentsk stran rezulta.	1
PHP	29	29_readTextFromFile6	procita tekst iz fajl lin po lin	Procita tekst iz fajl lin po lin. Obelez svak drug karakter.	2
PHP	29	29_readTextFromFile7	procita tekst iz fajl lin po lin	Citanj tekst iz vis fajlov i to lin po linuj. \n Ispisa svak lin na standardn izlaz tj. konzol.	2
PHP	29	29_readTextFromFile8	procita tekst iz fajl lin po lin	Obrad fajlov i dalj prosledjivanj.	0
PHP	29	29_readTextFromFile9	procita tekst iz fajl lin po lin	Citanj tekstualn sadrzaj fajolv lin po lin i njihov procesuiranj.	2
PHP	29	29_readTextFromFile10	procita tekst iz fajl lin po lin	Citanj fajl.	1
PHP	30	30_execPath1	uzm izvrsn putanj	Uzmi izvrsn putanj i vra je nazad klijentsk stran.	2
PHP	30	30_execPath2	uzm izvrsn putanj	Dohva izvrsn putanj i pozov njen izvrsavanj sa ulazn parametr.	2
PHP	30	30_execPath3	uzm izvrsn putanj	Uzmi izvrsn putanj.	3
PHP	30	30_execPath4	uzm izvrsn putanj	Dohva izvrsn putanj klas i pozov njen izvrsavanj.	2
PHP	30	30_execPath5	uzm izvrsn putanj	Uzmi izvrsn putanj i pozov komand iz terminal.	2
PHP	30	30_execPath6	uzm izvrsn putanj	Nadj putanj klas i ispis je na standardn izlaz	0
PHP	30	30_execPath7	uzm izvrsn putanj	Klas execPath7 koj sluz da bi se dohvati izvrsn putanj klas.	2
PHP	30	30_execPath8	uzm izvrsn putanj	Dohva izvrsn putanj svih potrebn klas i ispis u konzol.	2
PHP	30	30_execPath9	uzm izvrsn putanj	Funkcij koj sluz da se dohva putanj fajl.	0
PHP	30	30_execPath10	uzm izvrsn putanj	Uzmi izvrsn putanj I razb je na delov.	2
PHP	31	31_httpJson1	http klijent zahtev post json	Obrad http json post zahtev.	3
PHP	31	31_httpJson2	http klijent zahtev post json	Pr se http json post zahtev i zat se korisnik \n redirektuj na prethodn stran.	2
PHP	31	31_httpJson3	http klijent zahtev post json	Obrad json post zahtev.	3
